,Unnamed: 0_x,ID_x,Date,Active_cases,Active_cases_new,Confirmed_cases,Confirmed_cases_new,Death_cases,Death_cases_new,Hospitalized_cases,Hospitalized_cases_new,Unnamed: 0_y,ID_y,DoseType,DoseValue,Vax_Partial,Vax_Full,Unnamed: 0,SLP,PS,H,T,U,V,QV,O3
63,11924526,IT,2020-03-06,3916.0,620.0,4636.0,778.0,197.0,49.0,2856.0,715.0,0.0,0,0,0.0,0.0,0.0,5.0,100461.69838377192,97171.57952138156,18282.943113386824,236.93093866241125,14.468832145519087,1.3561345444255248,0.0012679616778321,3.076058157084809e-06
64,11924553,IT,2020-03-07,5061.0,1145.0,5883.0,1247.0,233.0,36.0,3218.0,362.0,0.0,0,0,0.0,0.0,0.0,6.0,101053.31848026316,97691.35391611842,18303.51680583769,237.03838216818087,7.370991615409328,-2.318806559581293,0.0010753019968194,3.126012951377258e-06
65,11924580,IT,2020-03-08,6387.0,1326.0,7375.0,1492.0,366.0,133.0,4207.0,989.0,0.0,0,0,0.0,0.0,0.0,7.0,101805.5239194079,98443.18414967104,18405.19128046918,238.53541030492897,4.422883510473291,-6.6742868361107,0.0009485684967772,3.070851034137061e-06
66,11924607,IT,2020-03-09,7985.0,1598.0,9172.0,1797.0,463.0,97.0,5049.0,842.0,0.0,0,0,0.0,0.0,0.0,8.0,101518.60359758772,98172.09345723684,18418.76847927364,238.83638330631263,8.747881241624903,-3.823435294467033,0.0009934933836781,3.112311778423612e-06
67,11924634,IT,2020-03-10,8514.0,529.0,10149.0,977.0,631.0,168.0,5915.0,866.0,0.0,0,0,0.0,0.0,0.0,9.0,101588.35039747808,98261.46906633773,18398.72518698342,239.0731193456297,6.570195190743918,-6.633542670213245,0.0010945534378101,3.133742345867312e-06
68,11924661,IT,2020-03-11,10590.0,2076.0,12462.0,2313.0,827.0,196.0,6866.0,951.0,0.0,0,0,0.0,0.0,0.0,10.0,101963.8509758772,98710.39133771932,18435.810439051456,241.0125536573204,9.034945397101124,-7.692011435844567,0.0012718768365804,3.095911296220238e-06
69,11924688,IT,2020-03-12,12839.0,2249.0,15113.0,2651.0,1016.0,189.0,7803.0,937.0,0.0,0,0,0.0,0.0,0.0,11.0,102052.1389506579,98817.67320888158,18482.027384690868,242.67511936847328,13.734782971990455,-2.4579365728312794,0.0012245109724359,3.1046768987913142e-06
70,11924715,IT,2020-03-13,14955.0,2116.0,17660.0,2547.0,1266.0,250.0,8754.0,951.0,0.0,0,0,0.0,0.0,0.0,12.0,101622.91080263158,98374.0489254386,18495.077181984427,242.7723561898235,15.760335228646465,-0.5238019168056738,0.0013300677123436,3.107484732135743e-06
71,11924742,IT,2020-03-14,17750.0,2795.0,21157.0,3497.0,1441.0,175.0,9890.0,1136.0,0.0,0,0,0.0,0.0,0.0,13.0,101608.23214473684,98300.8750455044,18446.0008656382,241.24333507323,16.143459206097603,0.0636605988168635,0.001327315741206,3.1193890911365524e-06
72,11924769,IT,2020-03-15,20603.0,2853.0,24747.0,3590.0,1809.0,368.0,11335.0,1445.0,0.0,0,0,0.0,0.0,0.0,14.0,101938.95796107456,98614.24708881578,18397.85876857486,240.4400878101504,11.570598709399304,-2.219101684539322,0.0010565038514492,3.158329684220212e-06
73,11924796,IT,2020-03-16,23073.0,2470.0,27980.0,3233.0,2158.0,349.0,12876.0,1541.0,0.0,0,0,0.0,0.0,0.0,15.0,102249.99567324562,98949.71449013158,18423.17337916471,241.0268167855837,5.913104971754522,0.4004193071804843,0.0009318478758885,3.1518154416965724e-06
74,11924823,IT,2020-03-17,26062.0,2989.0,31506.0,3526.0,2503.0,345.0,14954.0,2078.0,0.0,0,0,0.0,0.0,0.0,16.0,102764.23058114036,99454.92190625,18484.70292804446,241.96201468802207,4.238455967539234,0.4203078085120507,0.0009644114447282,3.17548967564723e-06
75,11924850,IT,2020-03-18,28710.0,2648.0,35713.0,4207.0,2978.0,475.0,16620.0,1666.0,0.0,0,0,0.0,0.0,0.0,17.0,102629.05589528508,99313.49446491228,18498.32822161863,242.010642723867,3.123210059244485,-0.524033009387906,0.001028939648871,3.17642144423944e-06
